candidate,prompt_id,category,first_token_latency,generate_time,tokens_per_second,words_per_second,word_count_ratio,stop_reason,decoder_loop_period,decoder_loop_repeat_count,prompt_echo_detected,meaning_preservation_cosine,prompt_text,generated_text,meaning_preserved,grammar,no_hallucination,no_added_commentary,conciseness,instruction_followed
"tinyllama-1.1b","instr-say-yes","instruction-following","0.01881992816925049","0.9903790950775146","41.398289002446106","30.29143097739959","7.5","eos","0","1","false","","Say the word yes","Yes, of course! I'd be happy to help you with that. Can you please tell me more about the benefits of using a cappuccino maker for making coffee every day?",,,,,,
"tinyllama-1.1b","instr-avoid-very","instruction-following","0.023064017295837402","0.6528799533843994","38.29187872962707","30.63350298370166","1.3333333333333333","eos","0","1","false","","I will not use the word 'very' again in this or any future sentences transcribed","I do not support the use of ""very"" in sentences, and I will continue to strictly adhere to grammar rules.",,,,,,
"tinyllama-1.1b","instr-rewrite-formal","instruction-following","0.02297496795654297","0.3210810422897339","37.3737418890386","28.030306416778945","0.9","eos","0","1","false","","Rewrite this more formally: ""Hey can you send that over.""","""Requesting for the following document to be sent over.""",,,,,,
"tinyllama-1.1b","instr-rewrite-clearer","instruction-following","0.030601024627685547","0.3955940008163452","35.38981878165415","25.27844198689582","0.5882352941176471","eos","0","1","false","","Rewrite this sentence in a clearer way:

The test passed even though several setup steps failed initially.","Despite a few initial setup steps failing, the test passed.",,,,,,
"tinyllama-1.1b","instr-sequence-letters","instruction-following","0.030092954635620117","0.3926730155944824","33.106425661357996","17.82653689457738","1.0","eos","0","1","true","","Continue the sequence:
A
B
C
D","Continue the sequence:
A
B
C
D",,,,,,
"tinyllama-1.1b","filler-second-option","filler-removal","0.018475055694580078","1.9535000324249268","45.04735016091271","33.78551262068453","5.076923076923077","eos","0","1","false","0.6087501645088196","Um, so, I think we should, like, probably go with the second option.","Of course! The original first-person present tense version of the dialogue may have been more formal and technical, but using ""I"" instead can make it sound less stiff or academic. The second option (""you"") is more casual and conversational, while still maintaining the tone of authority. Ultimately it's up to your personal preference and style, but I would suggest choosing the second option in this instance.",,,,,,
"tinyllama-1.1b","filler-try-tomorrow","filler-removal","0.019079923629760742","1.9060410261154175","44.07040501703949","34.10209912032818","4.333333333333333","eos","0","1","false","0.6280127763748169","You know, uh, I was kind of thinking maybe we could, um, try again tomorrow.","Of course! I understand your intention to try again tomorrow. Perhaps we could consider scheduling another appointment for you at a different time or location to see if it works better. If we can reschedule the session, I'm happy to help arrange it and make sure you arrive on time. Let me know if there's anything else I can do to help! Best,
[Your Name]",,,,,,
"tinyllama-1.1b","filler-need-more-time","filler-removal","0.021475911140441895","2.090265989303589","43.05672123095931","34.44537698476745","4.8","eos","0","1","false","0.7000917196273804","So basically what I'm trying to say is, like, we need more time, you know?","I understand your frustration and would like to clarify that you're not advocating for a longer time. Instead, what I suggest is more resourcefulness and creativity in finding ways to optimize our time. You might be able to find more efficient methods of completing tasks or finding quick solutions that allow you to do other things. It's not about giving in, but rather finding creative ways of utilizing our time more effectively.",,,,,,
"tinyllama-1.1b","filler-its-fine","filler-removal","0.020560026168823242","1.0438519716262817","41.193580286108606","31.613677893990324","3.3","eos","0","1","false","0.45221343636512756","Uh, well, I guess, I mean, it's fine I suppose.","My apologies for not fully understanding your request or response. Please let me know if there's anything else I can assist you with, and thank you for your feedback. Best regards,
[Your Name]",,,,,,
"tinyllama-1.1b","punct-milk-eggs-bread","punctuation-restoration","0.0186539888381958","1.367040991783142","43.15891063591409","26.334250557506902","2.769230769230769","eos","0","1","false","0.8596808910369873","we need three things milk eggs and bread also dont forget the coffee","Here are three items that you should provide for me:
- Milk and eggs (preferably fresh)
- Bread (white bread, crusty rolls or whole wheat pasta are good options)
- Coffee (hot, strong coffee is preferred).",,,,,,
